Município,Classificação,Funcionarios
São Sebastião do Rio Verde,Transportes,0
São Sebastião do Rio Verde,Hospedagem,6
São Sebastião do Rio Verde,Agência e Operadores,0
São Tomé das Letras,Comércio e Serviços,17
São Tomé das Letras,Transportes,0
São Tomé das Letras,Alimentação,155
São Tomé das Letras,Entretenimento,4
São Tomé das Letras,Hospedagem,88
São Tomé das Letras,Agência e Operadores,7
São Vicente de Minas,Comércio e Serviços,20
São Vicente de Minas,Transportes,1
São Vicente de Minas,Alimentação,34
São Vicente de Minas,Entretenimento,2
São Vicente de Minas,Agência e Operadores,0
São Vicente de Minas,Hospedagem,22
Sapucaí-Mirim,Entretenimento,142
Sapucaí-Mirim,Comércio e Serviços,19
Sapucaí-Mirim,Transportes,2
Sapucaí-Mirim,Agência e Operadores,17
Sapucaí-Mirim,Alimentação,21
Sapucaí-Mirim,Hospedagem,311
Senador Amaral,Comércio e Serviços,1
Senador Amaral,Transportes,0
Senador Amaral,Alimentação,8
Senador Amaral,Entretenimento,3
Senador Amaral,Agência e Operadores,0
Senador Amaral,Hospedagem,2
Senador José Bento,Comércio e Serviços,0
Senador José Bento,Transportes,0
Senador José Bento,Hospedagem,0
Senador José Bento,Alimentação,2
Senador José Bento,Entretenimento,0
Senador José Bento,Agência e Operadores,0
Seritinga,Comércio e Serviços,3
Seritinga,Entretenimento,0
Seritinga,Transportes,0
Seritinga,Hospedagem,0
Seritinga,Alimentação,11
Seritinga,Agência e Operadores,0
Serrania,Transportes,0
Serrania,Hospedagem,2
Serrania,Alimentação,10
Serrania,Entretenimento,4
